Name,Home City,Home Country,Latitude,Longitude,Still Going?,Legendary,Albums,Guitars to Synths (1-5),Artsy to Populist (1-5),Loudness,Coolness,First Album Release Date,Last album released,New Entry
The Flaming Lips,Oklahoma City,USA,35.468,-97.516,checked,checked,17,3,2,3,4,1986-08-22,2019-07-19,
Ash,Downpatrick,UK,54.329,-5.716,checked,,8,2,4,4,3,1994-10-24,2018-05-18,
Modest Mouse,Issaquah,USA,47.530,-122.033,checked,,6,2,2,3,3,1996-04-16,2015-03-17,
Spoon,Austin,USA,30.267,-97.743,checked,,9,2,3,3,4,1996-04-23,2017-03-17,
Soulwax,Ghent, Belgium,51.054,3.717,checked,,6,5,3,4,5,1996-05-14,2018-06-22,
Belle & Sebastian,Glasgow,UK,55.864,-4.252,checked,checked,11,2,3,2,3,1996-06-06,2018-02-16,
Brendan Benson,Royal Oak,USA,42.489,-83.145,checked,,6,2,4,2,2,1996-09-03,2013-12-10,
Daft Punk,Paris, France,48.857,2.352,checked,checked,4,5,3,3,5,1997-01-20,2013-05-17,
Mew,Hellerup, Denmark,55.737,12.569,checked,,7,3,2,4,3,1997-04-01,2017-04-28,
Of Montreal,Athens,USA,33.952,-83.358,checked,,15,3,2,3,3,1997-07-15,2018-03-09,
The Hives,Fagersta, Sweden,59.989,15.817,checked,,5,1,3,5,4,1997-09-22,2012-06-01,
Idlewild,Edinburgh,UK,55.953,-3.188,checked,,9,2,3,3,3,1998-01-01,2019-04-05,
The Faint,Omaha,USA,41.257,-95.935,checked,,6,4,3,4,4,1998-03-24,2019-03-15,
The White Stripes,Detroit,USA,42.331,-83.046,,checked,6,1,2,4,5,1999-06-15,2007-06-15,
My Morning Jacket,Louisville,USA,38.253,-85.758,checked,,7,2,3,4,3,1999-06-18,2015-05-04,
Muse,Teignmouth,UK,50.547,-3.497,checked,checked,8,2,4,4,1,1999-09-07,2018-11-09,
Le Tigre,New York,USA,40.713,-74.006,,,3,2,1,4,4,1999-11-26,2004-10-19,
Radio 4,New York,USA,40.713,-74.006,,,4,3,4,3,3,2000-05-16,2006-05-16,
Phoenix,Versailles, France,48.801,2.130,checked,,6,3,2,2,4,2000-06-12,2017-06-09,
Har Mar Superstar,Minneapolis,USA,44.978,-93.265,checked,,6,5,3,1,4,2000-07-18,2016-04-15,
